Time;temp_cell1;temp_cell2;temp_cell3;temp_cell4;temp_cell5;vol_cell1;vol_cell2;vol_cell3;vol_cell4;vol_cell5
7;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;16.2201225308613;4.04426779031309;4.08343457310843;4.10609452878274;4.1300133708834;4.13113095373128
23;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;16.2508511165831;4.04523122380265;4.04537252738112;4.05922027807097;4.12342348581485;4.12831772794178
39;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;16.2815797023049;4.04523122380265;4.04537252738112;4.05766593870782;4.1269046921571;4.12831772794178
55;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;16.3123082880269;4.0436768844395;4.04381818801797;4.05766593870782;4.1269046921571;4.12676338857864
72;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;12.4486874741755;4.04212254507635;4.04226384865482;4.05611159934468;4.12535035279396;4.12520904921549
87;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;13.7987498832296;4.04056820571321;4.04070950929167;4.05455725998153;4.12379601343081;4.12365470985234
97;28.2456656687872;39.6547324278708;33.3080097000292;5.75564233865861;13.7987498832296;4.04056820571321;4.04070950929167;4.05455725998153;4.12379601343081;4.12365470985234
103;29.0329269558772;39.6547324278708;33.3080097000292;5.75564233865861;16.4044940451926;4.03901386635006;4.03915516992853;4.05300292061838;4.12224167406766;4.1221003704892
113;29.0329269558772;39.6547324278708;33.3080097000292;5.75564233865861;16.4044940451926;4.03901386635006;4.03915516992853;4.05300292061838;4.12224167406766;4.1221003704892
119;29.0329269558772;39.6547324278708;33.3080097000292;5.75564233865861;16.4352226309144;4.03745952698691;4.03760083056538;4.05144858125524;4.12068733470452;4.12054603112605
129;30.3245433772124;39.6547324278708;33.3080097000292;5.75564233865861;16.4352226309144;4.03745952698691;4.03760083056538;4.05144858125524;4.12068733470452;4.12054603112605
135;30.3245433772124;39.6547324278708;33.3080097000292;5.75564233865861;16.4659512166363;4.03745952698691;4.03760083056538;4.05144858125524;4.12068733470452;4.12054603112605
145;31.7422485821091;39.6547324278708;33.3080097000292;5.75564233865861;16.4659512166363;4.03590518762376;4.03604649120223;4.04989424189209;4.11913299534137;4.1189916917629
151;31.7422485821091;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.03590518762376;4.03604649120223;4.04989424189209;4.11913299534137;4.1189916917629
157;31.7422485821091;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.03590518762376;4.03604649120223;4.04330435682354;4.11913299534137;4.1189916917629
157;42.5143638200049;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.03590518762376;4.03604649120223;4.04330435682354;4.11913299534137;4.1189916917629
159;86.9011075183382;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.03590518762376;4.03604649120223;4.04330435682354;4.11913299534137;4.1189916917629
160;130.800314269116;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.03590518762376;4.03604649120223;4.04330435682354;4.11140411779184;4.1189916917629
162;176.126095612032;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.01672643829171;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
166;226.256091796297;39.6547324278708;33.3080097000292;5.75564233865861;16.7488573694809;4.01672643829171;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
167;226.256091796297;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;4.01672643829171;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
171;270.351712075356;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;3.89495486810202;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
173;317.976075878919;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;3.27166478348003;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
174;317.976075878919;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;2.9670142683032;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
174;349.415764528987;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;2.66236375312637;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
174;374.936134321803;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;2.33271663491856;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
175;420.152968860796;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;2.02806611974173;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
176;470.362919228819;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;1.7234156045649;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
176;500.876404850664;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;1.41876508938807;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
179;550.352783176169;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;1.11411457421124;4.02945660613368;4.04330435682354;4.11140411779184;4.11743735239975
180;583.825056031429;39.6547324278708;33.3080097000292;5.75564233865861;16.3529887452609;0.809464059034414;4.02945660613368;4.04007150222526;4.11476543018872;4.11743735239975
181;583.825056031429;39.6547324278708;33.3080097000292;5.75564233865861;14.374611561109;0.504813543857582;4.02945660613368;4.04007150222526;4.11476543018872;4.10455303519945
195;583.825056031429;39.6547324278708;33.3080097000292;5.75564233865861;14.374611561109;0;4.02945660613368;4.04007150222526;4.11476543018872;4.10455303519945
